id;name;type;vLastAIS;vDistAIS;headAIS;headReal;speedAIS;speedReal;to;from;nat;mmsi;imo;status;lengthAIS;lengthReal;width;built;weight;temperature;wind;waveHeight;draught;inMaritimeRoad;inFishingZone;inCoastZone;nearOtherVessel;protectedZone;recIA;gt;expIA;expGT
10;COE ANNA;General Cargo;>10;>3;24,6;75,1;10,4;10,6;Uddevalla, Sweden;Bandirma, Turkey;DE;218615000;9366160;Under Way;107;101;18;2012;9,2;;;;;1;0;0;0;0;suspect;suspect;il y a une incohérence forte entre le cap déclaré par l'AIS et le cap mesuré. L'AIS n'a pas émis depuis plus de 10 minutes;
11;S-TRUST;Crude Oil Tanker;<1;<1;68,1;69,6;10,4;10,1;Brest, France;Port Said Anch., Egypt;SL;667002360;9299771;Under Way;244;232;42;2005;106;;;;;0;0;0;0;0;suspect;neutre;le cap ne semble pas s'aligner avec une arrivée à Brest, France;
12;F/V MARGUERITE;Fishing;<1;<1;275;273;3,1;3,3;Fishing Zone;Roscoff, France;FR;228078600;9823819;Fishing;25;26;6;2016;0,2;;;;;0;1;0;0;0;suspect;suspect;le poids déclaré du navire est trop faible pour un navire de pèche de 25m;
13;F/V NAONED;Fishing;<1;<1;68;65,8;12;12,2;Douarnenez, France;Douarnenez, France;FR;228301700;9478731;Under Way;28;28;10;2008;0,4;;;;;0;1;0;0;0;neutre;neutre;;
14;MSC LAURA;Container;<1;<1;69,8;64;17,1;17,5;Bordeaux, France;Dublin, Ireland;PA;354092000;9225665;Under Way;300;303;40;2002;85,2;;;;;1;0;0;0;0;neutre;neutre;;
15;ARKLOW COVE;General Cargo;<1;<1;52,2;52,3;12,4;12,6;Brest, France;Setubal, Portugal;IE;250011434;9757163;Under Way;87;79;15;2022;5,09;;;;;1;0;0;0;0;neutre;neutre;;
16;BBC GENOA;General Cargo;<1;<1;146,1;145,4;16,3;16;Tarbert, Ireland;Montoir Anch., France;AG;304543000;9885300;Under Way;150;143;23;2024;13,4;;;;;1;0;0;0;0;neutre;neutre;;
17;PUERTO LIMON EXPRESS;Container;<1;<1;273;276,1;13;13,1;Saint John, Canada;Brest, France;LB;636024483;9434943;Under way;200;210;30;2009;33,4;;;;;0;0;0;0;1;neutre;neutre;les données de l'AIS et les données mesurées sont cohérentes entre elles et avec les images;
18;MONTY OF LADRAM;Fishing;<1;<1;95,1;96,8;4,6;4,7;;Newlyn, United Kingdom;UK;235085141;;Fishing;23;24;7;;;;;;;1;0;0;0;0;suspect;neutre;le navire déclare être en train de pécher, ce qui peut être dangereux au vu de sa vitesse et de son angle dans cette route maritime;
19;FV MEN FLA S2;Fishing;<1;<1;82,3;83,4;6,1;6;Fishing Zone;Camaret, France;FR;228211900;;;13;15;6;;;;;;;0;1;0;0;1;neutre;neutre;;
20;F/V ANITA CONTI;Fishing;<1;<1;97,1;98;4;3,8;;;FR;228195000;;Under Way;16;17;5;;;;;;;0;0;0;0;1;suspect;suspect;le navire de pèche est en train de pécher dans une zone protégée;
21;GAEA;Pleasure Craft;<1;<1;256,4;255,3;12,2;12,5;A Coruna, Spain;Aber-Wrac, France;ES;538070823;;Under Way;20;18;8;;;;;;;0;0;0;0;0;neutre;neutre;;
22;Northern Spirit;Chemical/Oil Tanker;<1;<1;216,2;215,5;4,5;4,2;Brunsbuttel, Germany;Montreal, Canada;MH;538008873;9580962;Under Way;162;159;23;2011;19,1;;;;;1;0;0;0;0;neutre;neutre;;
23;FORTUNE PROSPERITY;Bulk Carrier;<1;<1;217,9;214,3;9;8,8;Port-Saïd, Egypte;Ust-Luga, Russia;PA;371545000;9303510;Under way;225;220;32;2005;77,7;;;;;1;0;0;0;0;neutre;suspect;les données de l'AIS et les données mesurées sont cohérentes entre elles et avec les images;Le nom sur le navire ne correspond pas au nom déclaré, le nom sur le navire est dans la liste suspect.
24;FRENCH WARSHIP;Military Ops;<1;<1;57,9;56,8;0,3;0,5;;Brest, France;FR;228772000;;Under way;;51;;;;;;;;0;0;0;0;1;neutre;neutre;les données de l'AIS et l'image semblent indiquer que c'est un navire militaire Français;
25;MAERSK BAHAMAS;Container Ship;<1;<1;87;84,7;13,8;13,4;CR MOI>GB;Moin, Costa Rica;SG;563096500;9697026;Under way;196;200;32;2016;35,2;;;;;1;0;0;0;0;neutre;neutre;;
26;FLIPPER III;Fishing;>5;<1;222,4;221,3;3,4;3,1;;Brest, France;FR;227320660;;;14;15;7;;;;;;;0;0;0;0;1;suspect;suspect;la vitesse mesurée du navire de pèche est faible, ce qui indique qu'il peut être en train de pécher dans une zone protégée;
27;BERKAY N;General Cargo;<1;<1;225,4;224,3;7,6;7,9;La Pallice, France;Rotterdam, Netherlands;BB;314496000;9524827;Under Way;102;103;20;2008;12;;;;;1;0;0;0;0;suspect;neutre;la vitesse mesurée et déclarée sont faibles pour un navire de type General Cargo dans une route maritime;
28;COBIA LNG;LNG Tanker;<1;<1;251,6;250;16,6;16,1;FOR ORDERS;Zeebrugge, Belgium;MT;215583000;9869306;Under way;299;291;46;2021;93,5;;;;;0;1;0;0;0;neutre;neutre;;
29;F/V ITASCA;Fishing;<1;<1;98,5;98,4;2,4;2,6;Fishing Operation;Roscoff, France;FR;227144500;;Fishing;21;22;7;;;;;;;1;0;0;0;0;neutre;neutre;;
