id;name;type;vLastAIS;vDistAIS;headAIS;headReal;speedAIS;speedReal;to;from;nat;mmsi;imo;status;lengthAIS;lengthReal;width;built;weight;temperature;wind;waveHeight;draught;inMaritimeRoad;inFishingZone;inCoastZone;nearOtherVessel;protectedZone;recIA;gt;expIA;expGT
13;BREOGAN UNO;Fishing;<1;<1;56,6;55,8;1,8;1,7;;Burela, Spain;ES;224780000;;Under Way;32;37;8;;;;;;25,5;0;1;0;1;0;suspect;neutre;le Draught semble trop important pour un navire de type Fishing;
14;BBC BANGKOK;General Cargo;<1;<1;121,9;122,4;9,7;9,6;Saint-Nazaire, France;Kiel Anch., Germany;AG;305512000;9437165;Under Way;128;136;16;2011;6,3;;;;7,3;0;0;0;0;0;neutre;neutre;;
15;STADT DRESDEN;Container Ship;>30;>5;27,9;17,8;13,1;12,5;Le Havre, France;Algeciras, Spain;PT;255806065;9320049;Under Way;222;231;30;2006;27,9;;;;10;0;0;0;0;0;suspect;suspect;la position estimée du navire est au-delà de 5 NM par rapport à sa position AIS qui n'a pas émi depuis >30 minutes;
16;WEC VAN RIJN;Container Ship;<1;<1;111,8;110,5;3,1;3,4;Montoir, France;Rotterdam, Netherlands;CY;210281000;9315006;Under Way;149;153;23;2005;11,7;;;;8,3;0;0;0;0;0;suspect;suspect;la vitesse est faible pour un navire de type Container Ship;
17;LOWLANDS SKY;General Cargo;<1;<1;247,5;248,9;12,3;12,4;Ghazaouet Anch., Algeria;Lorient, France;SM;268245602;9400875;Under Way;177;181;28;2009;20,2;;;;9,1;0;0;0;0;0;neutre;neutre;;
18;LOWLANDS COMFORT;Bulk Carrier;<1;<1;205,7;204,8;11,8;11,7;Port Said, Egypt;Ust-Luga, Russia;LR;636022706;9728136;Under Way;229;198;32;2016;43;;;;14,5;1;0;0;0;0;neutre;suspect;les données AIS et captées sont cohérentes entre elles et avec les images;le nom du navire ne correspond pas avec celui déclaré
19;AFRODITI;Crude Oil Tanker;<1;<1;208,4;208,1;13,4;13,2;Vadinar, India;Primorsk, Russia;LR;636014972;9452880;Under Way;274;264;50;2011;84,7;;;;12,4;1;0;0;0;0;neutre;neutre;;
20;TEMSE;LPG Tanker;<1;<1;29,6;28,7;12,5;13,4;Tallinn, Estonia;Dardanelles North Anch., Turkey;CM;613467061;9014432;Under Way;170;168;27;1994;22,5;;;;8,5;1;0;0;0;0;neutre;neutre;;
21;MAXIMA;General Cargo;<1;<1;218,2;217,2;10,2;10,1;Iskenderun, Turkey;Middlesbrough, United Kingdom;NL;246539000;9882061;Under Way;150;155;16;2021;8,8;;;;8;1;0;0;0;0;neutre;neutre;;
22;SPARTA IV;General Cargo;>10;>5;33,8;278,2;11,5;7,1;Kaliningrad, Russia;Saint Petersburg, Russia;RU;273413440;9743033;Under Way;122;117;20;2018;7,5;;;;5,6;1;0;0;0;0;suspect;suspect;le navire n'a pas émi d'AIS depuis plus de 10 minutes. L'écart entre le cap mesuré et le cap déclaré est important ainsi qu'entre la vitesse déclarée et la vitesse mesurée;
23;TIAN LU;General Cargo;<1;<1;210,9;210,7;12,7;12,5;Port Said, Egypt;Goteborg Anch., Sweden;SG;563223800;9704740;Under Way;190;199;28;2015;26,6;;;;11;1;0;0;0;0;neutre;neutre;;
24;BERGE ARZEW;LNG Tanker;<1;<1;193,4;193,8;12,1;11,8;Arzew, Algeria;Isle of Grain, United Kingdom;BS;311745000;9256597;Under Way;268;253;42;2004;93,8;;;;11,5;0;0;0;0;0;suspect;suspect;le navire est en dehors du rail maritime et ne semble pas  provenir de Isle of Grain, United Kingdom pour se diriger vers Azew, Algeria;
25;HAFNIA EAGLE;Chemical/Oil Products Tanker;<1;<1;208,1;209,8;12,6;13;Genova, Italy;Amsterdam, Netherlands;SG;566555000;9708071;Under Way;183;189;32;2015;29,6;;;;8,4;1;0;0;0;0;neutre;neutre;;
26;TIMOR STREAM;Refrigerated Cargo;<1;<1;212;210,8;19,9;20;Cape Town, South Africa;Saint Petersburg, Russia;PA;354962000;9172947;Under Way;150;152;22;1998;9,3;;;;6,2;1;0;0;0;0;neutre;neutre;;
27;GRANDE DETROIT;Vehicles Carrier;<1;<1;30,3;30,3;23,1;22,3;Vlissingen, Netherlands;Tanger Med, Morocco;IT;247186300;9293272;Under Way;176;177;31;2005;38,6;;;;8,1;1;0;0;0;0;suspect;neutre;la vitesse déclarée est élevé pour un navire de type Vehicles Carrier dans une route maritime;
28;BLUE ASPIR;Vehicles Carrier;<1;<1;214,1;214;17,6;18,1;Vigo, Spain;Le Havre, France;LR;636023927;9968607;Under Way;200;191;38;2024;69,2;;;;8,7;1;0;0;0;0;neutre;neutre;;
29;BEGONIA S;General Cargo;<1;<1;69,3;68,9;12,1;11,9;Lorient, France;Istanbul Anch., Turkey;LR;636022079;9445540;Under Way;140;135;20;2007;8,8;;;;7,8;0;0;0;0;0;neutre;neutre;;
