id;name;type;vLastAIS;vDistAIS;headAIS;headReal;speedAIS;speedReal;to;from;nat;mmsi;imo;status;lengthAIS;lengthReal;width;built;weight;temperature;wind;waveHeight;draught;inMaritimeRoad;inFishingZone;inCoastZone;nearOtherVessel;protectedZone;recIA;gt;expIA;expGT
13;KARSOY;General Cargo;<1;<1;205,7;205,2;12,1;11,1;Diliskelesi, Turkey;Antwerpen Anch., Belgium;LR;636093349;9555618;Under Way;132;129;18;2009;7,6;;;;7,1;1;0;0;0;0;suspect;suspect;le navire est dans la liste des suspects;
14;BOKA KEEPER;Anchor Hoy;<1;<1;28,3;29,1;11,5;11;Rotterdam, Netherlands;Walvis Bay Anch., Namibia;MT;249059000;9737266;Under Way;88;84;21;2018;5,9;;;;7,6;1;0;0;0;0;neutre;neutre;;
15;INDEPENDENCE OTS;Passenger (Cruise);<1;<1;131,1;132,8;16,3;16,2;Bilbao, Spain;Southampton, United Kingdom ;BS;309374000;9349681;Under Way;339;343;39;2008;155,9;;;;9;0;0;0;0;0;neutre;neutre;;
16;KAPITAN GLOWACKI;Sailing;<1;<1;57,3;55,1;5,3;5,8;Szczecin, Poland;A Coruna, Spain;PL;261378000;;Sailing;24;26;6;;;;;;3,1;0;0;0;0;0;neutre;neutre;;
17;F/V LA FANETTE;Trawler;<1;<1;17;20,9;12,7;12,5;Tallinn, Estonia;Las Palmas Anch., Spain;FR;228021600;9669794;Under Way;24;23;6;2012;0,2;;;;4,4;1;0;0;0;0;neutre;neutre;;
18;SUN VIL II;Bulk Carrier;<1;<1;313,1;312,5;13,2;12,9;Rouen, France;Montoir, France;KY;319054200;9643178;Under Way;190;193;32;2013;31,8;;;;9,2;1;0;0;0;0;neutre;neutre;;
19;FEHN COURAGE;General Cargo;<1;<1;280,6;250,5;13,4;14,1;Ust-Luga, Russia;Brest, France;LV;275467000;9556818;Under Way;88;86;11;2010;1,9;;;;4,4;0;0;0;0;0;suspect;suspect;le cap mesuré du navire indique qu'il ne se dirige pas vers Ust-Luga, Russia. Il y a également un écart important entre le cap mesuré et le cap déclaré;
20;FRENCH WARSHIP;Military ops;<1;<1;293,5;292,6;1,8;1,6;;Brest, France;FR;228792000;;Drifting;59;56;11;;;;;;4,3;0;0;0;0;0;neutre;neutre;;
21;F/V TXIMISTARRI 2;Fishing;<1;<1;299,1;298,3;3,4;3,5;;Douarnenez, France;FR;227142200;;Under Way;16;17;6;;;;;;2;0;0;0;0;1;suspect;suspect;le navire de type Pèche possède une vitesse lente pour un statut Under Way dans une zone protégée;
22;;;;;;261,5;;6,9;;;;;;;;12;;;;;;;;0;0;0;0;0;suspect;neutre;un bateau de plaisance de cette taille est censé emettre un AIS s'il s'approche d'une route maritime;
23;GEO OCEAN IX;Research Vessel;<1;<1;177;178,9;3,5;3,9;KEEP CLEAR 750M;Brest, France;LU;253000082;9668518;Restricted;53;55;13;2013;1,4;;;;5;0;0;1;1;1;neutre;neutre;le navire semble réaliser une mission de recherche ou de sauvetage proche de l'ile de Ouessant;
24;MORGAZH;Law Enforcement;<1;<1;326,3;324,6;9,9;10,2;;;FR;228156120;;;9;9;4;;;;;;;0;0;1;0;1;neutre;neutre;;
25;LAROSSA SOLO SAILOR;Sailing;<1;<1;184;184,4;6,1;5,5;;Roscoff, France;DE;211510320;;;15;17;5;;;;;;;0;0;1;0;1;neutre;neutre;;
26;ENEZ SUN 3;Passenger/General Cargo;<1;<1;167,2;167,3;14,1;13,8;SEIN;Audierne, France;FR;227002630;9019884;Under Way;35;39;8;1991;0,3;;;;2,2;0;0;1;0;0;neutre;neutre;;
27;QOGIR;LNG Tanker;<1;<1;46,1;46,1;5,9;5,5;Brest, France;Fos sur Mer, France;MT;215524000;9851787;Under Way;293;296;46;2020;115,3;;;;9,5;0;0;1;1;1;suspect;neutre;le navire semble être un Container Ship et non pas un LNG Tanker;
28;FV L'ATLANTIQUE;Other Type;<1;<1;38,3;39;9,3;9,8;;;FR;228333000;;Under Way;16;18;6;;;;;;3,2;0;0;1;1;0;suspect;suspect;le navire déclare être Other Type alors que qu'il semble être un bateau de pèche;
29;SNS140 MARGODIG;SAR;<1;<1;335,1;336,7;20,1;19,9;;Loctudy, France;FR;227009320;;;15;14;5;;;;;;1,2;0;0;1;1;0;neutre;neutre;;
